DATE,DTWEXBGS
2006-01-02,101.4155
2006-01-03,100.7558
2006-01-04,100.2288
2006-01-05,100.2992
2006-01-06,100.0241
2006-01-09,100.1794
2006-01-10,100.1436
2006-01-11,99.871
2006-01-12,100.0643
2006-01-13,99.9675
2006-01-16,99.9715
2006-01-17,100.2447
2006-01-18,100.4085
2006-01-19,100.1862
2006-01-20,99.9017
2006-01-23,99.3783
2006-01-24,99.3434
2006-01-25,99.348
2006-01-26,99.4798
2006-01-27,99.6433
2006-01-30,99.7144
2006-01-31,99.4311
2006-02-01,99.6132
2006-02-02,99.7916
2006-02-03,100.118
2006-02-06,100.1372
2006-02-07,100.1759
2006-02-08,100.4879
2006-02-09,100.2117
2006-02-10,100.322
2006-02-13,100.3955
2006-02-14,100.3987
2006-02-15,100.4489
2006-02-16,100.5183
2006-02-17,100.3404
2006-02-20,100.3447
2006-02-21,100.2346
2006-02-22,100.3879
2006-02-23,100.1956
2006-02-24,100.2594
2006-02-27,100.0724
2006-02-28,99.7695
2006-03-01,99.8355
2006-03-02,99.5969
2006-03-03,99.7024
2006-03-06,99.9834
2006-03-07,100.564
2006-03-08,100.8565
2006-03-09,100.7718
2006-03-10,100.9566
2006-03-13,100.8563
2006-03-14,100.312
2006-03-15,100.2121
2006-03-16,99.9049
2006-03-17,99.8614
2006-03-20,100.0491
2006-03-21,100.4716
2006-03-22,100.496
2006-03-23,100.8256
2006-03-24,100.7773
2006-03-27,100.8359
2006-03-28,100.7995
2006-03-29,101.0474
2006-03-30,100.5698
2006-03-31,100.56
2006-04-03,100.6204
2006-04-04,100.1319
2006-04-05,100.0792
2006-04-06,100.1578
2006-04-07,100.4187
2006-04-10,100.4091
2006-04-11,100.2903
2006-04-12,100.3589
2006-04-13,100.4759
2006-04-14,100.4697
2006-04-17,99.8719
2006-04-18,99.6747
2006-04-19,99.3467
2006-04-20,99.4974
2006-04-21,99.4345
2006-04-24,99.117
2006-04-25,98.9687
2006-04-26,98.8907
2006-04-27,98.5149
2006-04-28,98.1412
2006-05-01,97.9085
2006-05-02,97.6571
