;id;data_set;data_set_label;indicator;period_type;period_from;period_to;country_key;country_label;bz_key;bz_short;bz_long;operator_key;operator_label;tso_eic_code;direction_key;adjacent_systems_key;adjacent_systems_label;year;month;day;unit;value;count_point_presents;flow_status;points_names;last_update_date_time;adjacent_bz_key;url
10;1AggregatesDEDE-NCG-----DE-TSO-0007exitTransmissionCH---------2021-01-01T00:00:00+00:002021-01-02T00:00:00+00:00Allocation;1;Aggregates;Allocation;day;2021-01-01T06:00:00+01:00;2021-01-02T06:00:00+01:00;DE;Germany;DE-NCG-----;NCG;NCG Balancing Zone;DE-TSO-0007;Fluxys TENP GmbH;21X000000001133M;exit;TransmissionCH---------;Switzerland;2021;1;1;kWh/d;83352204.0;2;Provisionnal;VIP Germany-CH|Wallbach;2021-01-29T11:32:26+01:00;CH---------;https://transparency.entsog.eu/api/v1/aggregatedData?from=2021-01-01&to=2021-01-06&countryKey=DE&periodType=day&limit=-1&timeZone=UCT
11;1AggregatesDEDE-NCG-----DE-TSO-0007exitTransmissionCH---------2021-01-01T00:00:00+00:002021-01-02T00:00:00+00:00Nomination/Renomination;1;Aggregates;Nomination/Renomination;day;2021-01-01T06:00:00+01:00;2021-01-02T06:00:00+01:00;DE;Germany;DE-NCG-----;NCG;NCG Balancing Zone;DE-TSO-0007;Fluxys TENP GmbH;21X000000001133M;exit;TransmissionCH---------;Switzerland;2021;1;1;kWh/d;83352204.0;2;Provisionnal;VIP Germany-CH|Wallbach;2021-01-02T08:34:57+01:00;CH---------;https://transparency.entsog.eu/api/v1/aggregatedData?from=2021-01-01&to=2021-01-06&countryKey=DE&periodType=day&limit=-1&timeZone=UCT
12;1AggregatesDEDE-NCG-----DE-TSO-0007exitTransmissionCH---------2021-01-01T00:00:00+00:002021-01-02T00:00:00+00:00Physical Flow;1;Aggregates;Physical Flow;day;2021-01-01T06:00:00+01:00;2021-01-02T06:00:00+01:00;DE;Germany;DE-NCG-----;NCG;NCG Balancing Zone;DE-TSO-0007;Fluxys TENP GmbH;21X000000001133M;exit;TransmissionCH---------;Switzerland;2021;1;1;kWh/d;238760646.0;2;Provisionnal;VIP Germany-CH|Wallbach;2021-01-29T11:32:37+01:00;CH---------;https://transparency.entsog.eu/api/v1/aggregatedData?from=2021-01-01&to=2021-01-06&countryKey=DE&periodType=day&limit=-1&timeZone=UCT
13;1AggregatesDEDE-NCG-----DE-TSO-0007exitTransmissionNL---------2021-01-01T00:00:00+00:002021-01-02T00:00:00+00:00Allocation;1;Aggregates;Allocation;day;2021-01-01T06:00:00+01:00;2021-01-02T06:00:00+01:00;DE;Germany;DE-NCG-----;NCG;NCG Balancing Zone;DE-TSO-0007;Fluxys TENP GmbH;21X000000001133M;exit;TransmissionNL---------;Netherlands;2021;1;1;kWh/d;0.0;1;Provisionnal;Bocholtz (Fluxys TENP);2021-01-29T11:32:26+01:00;NL---------;https://transparency.entsog.eu/api/v1/aggregatedData?from=2021-01-01&to=2021-01-06&countryKey=DE&periodType=day&limit=-1&timeZone=UCT
14;1AggregatesDEDE-NCG-----DE-TSO-0007exitTransmissionNL---------2021-01-01T00:00:00+00:002021-01-02T00:00:00+00:00Nomination/Renomination;1;Aggregates;Nomination/Renomination;day;2021-01-01T06:00:00+01:00;2021-01-02T06:00:00+01:00;DE;Germany;DE-NCG-----;NCG;NCG Balancing Zone;DE-TSO-0007;Fluxys TENP GmbH;21X000000001133M;exit;TransmissionNL---------;Netherlands;2021;1;1;kWh/d;0.0;1;Provisionnal;Bocholtz (Fluxys TENP);2021-01-02T08:34:57+01:00;NL---------;https://transparency.entsog.eu/api/v1/aggregatedData?from=2021-01-01&to=2021-01-06&countryKey=DE&periodType=day&limit=-1&timeZone=UCT
15;1AggregatesDEDE-NCG-----DE-TSO-0007exitTransmissionNL---------2021-01-01T00:00:00+00:002021-01-02T00:00:00+00:00Physical Flow;1;Aggregates;Physical Flow;day;2021-01-01T06:00:00+01:00;2021-01-02T06:00:00+01:00;DE;Germany;DE-NCG-----;NCG;NCG Balancing Zone;DE-TSO-0007;Fluxys TENP GmbH;21X000000001133M;exit;TransmissionNL---------;Netherlands;2021;1;1;kWh/d;0.0;1;Provisionnal;Bocholtz (Fluxys TENP);2021-01-29T11:32:37+01:00;NL---------;https://transparency.entsog.eu/api/v1/aggregatedData?from=2021-01-01&to=2021-01-06&countryKey=DE&periodType=day&limit=-1&timeZone=UCT
16;1AggregatesDEDE-NCG-----DE-TSO-0010entryStorage2021-01-01T00:00:00+00:002021-01-02T00:00:00+00:00Nomination/Renomination;1;Aggregates;Nomination/Renomination;day;2021-01-01T06:00:00+01:00;2021-01-02T06:00:00+01:00;DE;Germany;DE-NCG-----;NCG;NCG Balancing Zone;DE-TSO-0010;bayernets GmbH;21X-DE-A-A0A0A-A;entry;Storage;Storage;2021;1;1;kWh/d;123997280.0;5;Provisionnal;Haidach (AT) / Haidach USP (DE)|Haiming 2 7F/bn|Haiming 2-RAGES/bn|Inzenham UGS|Wolfersberg UGS;2021-01-02T07:57:09+01:00;-----------;https://transparency.entsog.eu/api/v1/aggregatedData?from=2021-01-01&to=2021-01-06&countryKey=DE&periodType=day&limit=-1&timeZone=UCT
17;1AggregatesDEDE-NCG-----DE-TSO-0010entryStorage2021-01-01T00:00:00+00:002021-01-02T00:00:00+00:00Physical Flow;1;Aggregates;Physical Flow;day;2021-01-01T06:00:00+01:00;2021-01-02T06:00:00+01:00;DE;Germany;DE-NCG-----;NCG;NCG Balancing Zone;DE-TSO-0010;bayernets GmbH;21X-DE-A-A0A0A-A;entry;Storage;Storage;2021;1;1;kWh/d;426438965.0;5;Provisionnal;Haidach (AT) / Haidach USP (DE)|Haiming 2 7F/bn|Haiming 2-RAGES/bn|Inzenham UGS|Wolfersberg UGS;2021-01-02T07:57:11+01:00;-----------;https://transparency.entsog.eu/api/v1/aggregatedData?from=2021-01-01&to=2021-01-06&countryKey=DE&periodType=day&limit=-1&timeZone=UCT
18;1AggregatesDEDE-NCG-----DE-TSO-0010entryTransmissionAT---------2021-01-01T00:00:00+00:002021-01-02T00:00:00+00:00Nomination/Renomination;1;Aggregates;Nomination/Renomination;day;2021-01-01T06:00:00+01:00;2021-01-02T06:00:00+01:00;DE;Germany;DE-NCG-----;NCG;NCG Balancing Zone;DE-TSO-0010;bayernets GmbH;21X-DE-A-A0A0A-A;entry;TransmissionAT---------;Austria;2021;1;1;kWh/d;2160000.0;2;Provisionnal;Überackern ABG (AT) / Überackern (DE)|Überackern SUDAL (AT) / Überackern 2 (DE);2021-01-02T07:57:09+01:00;AT---------;https://transparency.entsog.eu/api/v1/aggregatedData?from=2021-01-01&to=2021-01-06&countryKey=DE&periodType=day&limit=-1&timeZone=UCT
19;1AggregatesDEDE-NCG-----DE-TSO-0010entryTransmissionAT---------2021-01-01T00:00:00+00:002021-01-02T00:00:00+00:00Physical Flow;1;Aggregates;Physical Flow;day;2021-01-01T06:00:00+01:00;2021-01-02T06:00:00+01:00;DE;Germany;DE-NCG-----;NCG;NCG Balancing Zone;DE-TSO-0010;bayernets GmbH;21X-DE-A-A0A0A-A;entry;TransmissionAT---------;Austria;2021;1;1;kWh/d;1800209.0;2;Provisionnal;Überackern ABG (AT) / Überackern (DE)|Überackern SUDAL (AT) / Überackern 2 (DE);2021-01-02T07:57:11+01:00;AT---------;https://transparency.entsog.eu/api/v1/aggregatedData?from=2021-01-01&to=2021-01-06&countryKey=DE&periodType=day&limit=-1&timeZone=UCT
