,DE_LU_WINDONSHORE,FR_WINDONSHORE,IT_NORD_WINDONSHORE,ES_WINDONSHORE
2019-04-14,947177.0,57014.0,322.0,87232.0
2019-04-15,1166699.0,102021.0,171.0,180312.0
2019-04-16,1273616.0,51672.0,56.0,99890.0
2019-04-17,1156894.0,67385.0,29.0,219383.0
2019-04-18,1476439.0,92296.0,103.0,109837.0
2019-04-19,1025032.0,59318.0,180.0,182247.0
2019-04-20,616895.0,72571.0,256.0,223160.0
2019-04-21,539185.0,45878.0,368.0,113585.0
2019-04-22,1746242.0,49915.0,351.0,90003.0
2019-04-23,2517625.0,59800.0,194.0,185301.0
2019-04-24,1541873.0,154521.0,333.0,298110.0
2019-04-25,1120178.0,140277.0,102.0,289290.0
2019-04-26,1006424.0,86791.0,292.0,160183.0
2019-04-27,888896.0,199969.0,273.0,92767.0
2019-04-28,406731.0,88278.0,261.0,114013.0
2019-04-29,941785.0,35271.0,169.0,61648.0
2019-04-30,593221.0,42893.0,65.0,65123.0
2019-05-01,900232.0,27363.0,118.0,120421.0
2019-05-02,1435545.0,52448.0,290.0,191843.0
2019-05-03,1211350.0,35166.0,218.0,159659.0
2019-05-04,912721.0,132095.0,105.0,167057.0
2019-05-05,663439.0,103910.0,345.0,165140.0
2019-05-06,954536.0,41295.0,69.0,56434.0
2019-05-07,365453.0,35222.0,114.0,155838.0
2019-05-08,1170886.0,158888.0,281.0,320296.0
2019-05-09,774529.0,150222.0,203.0,228514.0
2019-05-10,725230.0,49626.0,236.0,180083.0
2019-05-11,1000309.0,131515.0,291.0,137286.0
2019-05-12,1308178.0,113229.0,386.0,188822.0
2019-05-13,1010234.0,162130.0,344.0,186934.0
2019-05-14,955317.0,151447.0,105.0,92541.0
2019-05-15,878637.0,105278.0,142.0,95359.0
2019-05-16,830648.0,56331.0,64.0,148492.0
2019-05-17,441870.0,40939.0,77.0,274727.0
2019-05-18,437452.0,29390.0,192.0,147206.0
2019-05-19,442777.0,43995.0,85.0,132671.0
2019-05-20,723063.0,56401.0,336.0,62386.0
2019-05-21,1287694.0,52715.0,382.0,51709.0
2019-05-22,1333831.0,26157.0,113.0,39881.0
2019-05-23,288982.0,21584.0,37.0,66548.0
2019-05-24,612470.0,39583.0,44.0,173069.0
2019-05-25,455177.0,47980.0,54.0,173992.0
2019-05-26,1203917.0,66623.0,287.0,141287.0
2019-05-27,831364.0,68533.0,277.0,142658.0
2019-05-28,481914.0,90126.0,144.0,192013.0
2019-05-29,368579.0,53036.0,135.0,180635.0
2019-05-30,1099627.0,50044.0,89.0,107802.0
2019-05-31,521279.0,18658.0,31.0,81257.0
2019-06-01,362183.0,24874.0,39.0,76476.0
2019-06-02,652145.0,57894.0,49.0,90393.0
2019-06-03,649913.0,30070.0,49.0,87970.0
2019-06-04,616526.0,81353.0,76.0,169046.0
2019-06-05,752609.0,65016.0,226.0,174445.0
2019-06-06,1069122.0,57913.0,437.0,196358.0
2019-06-07,970708.0,214876.0,175.0,159379.0
2019-06-08,2020152.0,146912.0,258.0,113553.0
2019-06-09,570055.0,35777.0,210.0,93452.0
2019-06-10,556589.0,53589.0,141.0,116464.0
2019-06-11,360194.0,29564.0,130.0,129508.0
2019-06-12,659349.0,57520.0,256.0,85245.0
2019-06-13,776019.0,90434.0,120.0,115666.0
2019-06-14,643755.0,37814.0,184.0,113066.0
2019-06-15,1136943.0,69216.0,225.0,75301.0
2019-06-16,260725.0,44101.0,63.0,52953.0
2019-06-17,254241.0,25450.0,83.0,55927.0
2019-06-18,414368.0,44165.0,68.0,161013.0
2019-06-19,507182.0,68808.0,354.0,84426.0
2019-06-20,504381.0,44040.0,499.0,91741.0
2019-06-21,312884.0,40683.0,114.0,80827.0
2019-06-22,649496.0,45505.0,165.0,83831.0
2019-06-23,814696.0,51495.0,67.0,109209.0
2019-06-24,931726.0,59056.0,57.0,75528.0
2019-06-25,588308.0,52694.0,131.0,66960.0
2019-06-26,863285.0,87333.0,223.0,142123.0
2019-06-27,1017091.0,99563.0,71.0,164077.0
2019-06-28,269597.0,66415.0,106.0,83134.0
2019-06-29,255590.0,46812.0,141.0,65515.0
2019-06-30,1039563.0,50399.0,80.0,89200.0
2019-07-01,1169758.0,47563.0,104.0,134429.0
2019-07-02,1178945.0,56878.0,83.0,124418.0
2019-07-03,806182.0,98833.0,93.0,103653.0
2019-07-04,788962.0,60458.0,47.0,93127.0
2019-07-05,873157.0,31042.0,137.0,53961.0
2019-07-06,1068810.0,28975.0,590.0,72425.0
2019-07-07,1115853.0,37233.0,513.0,92376.0
2019-07-08,816533.0,57318.0,233.0,131484.0
2019-07-09,711049.0,75804.0,134.0,107756.0
2019-07-10,362378.0,39667.0,218.0,64710.0
2019-07-11,179465.0,29292.0,79.0,53829.0
2019-07-12,344856.0,70368.0,101.0,59953.0
2019-07-13,641696.0,53208.0,202.0,127343.0
2019-07-14,389281.0,87991.0,84.0,120555.0
2019-07-15,606259.0,65739.0,542.0,129134.0
2019-07-16,729737.0,24721.0,256.0,112404.0
2019-07-17,132261.0,30091.0,135.0,98187.0
2019-07-18,218704.0,55055.0,44.0,75819.0
2019-07-19,275559.0,33363.0,32.0,90987.0
2019-07-20,747690.0,88838.0,169.0,95798.0
2019-07-21,811237.0,24694.0,212.0,99334.0
2019-07-22,352748.0,24993.0,62.0,133162.0
2019-07-23,244980.0,46412.0,38.0,109945.0
2019-07-24,406434.0,39449.0,33.0,87217.0
2019-07-25,544832.0,49255.0,49.0,117803.0
2019-07-26,1095398.0,61792.0,271.0,102773.0
2019-07-27,1234836.0,65582.0,248.0,168396.0
2019-07-28,610611.0,86442.0,216.0,78837.0
2019-07-29,351688.0,47408.0,143.0,114424.0
2019-07-30,294893.0,140556.0,119.0,113215.0
2019-07-31,454882.0,66928.0,203.0,138787.0
2019-08-01,165025.0,27367.0,154.0,88970.0
2019-08-02,190788.0,46242.0,368.0,54473.0
2019-08-03,304750.0,28601.0,114.0,53648.0
2019-08-04,176633.0,27626.0,70.0,57966.0
2019-08-05,364019.0,45608.0,128.0,52830.0
2019-08-06,493217.0,31506.0,444.0,63903.0
2019-08-07,612796.0,38550.0,369.0,91418.0
2019-08-08,989944.0,30300.0,67.0,142402.0
2019-08-09,581581.0,129893.0,76.0,191146.0
2019-08-10,1937155.0,179175.0,455.0,70570.0
2019-08-11,1006956.0,54489.0,272.0,105619.0
2019-08-12,726525.0,69812.0,379.0,131012.0
2019-08-13,879009.0,53428.0,127.0,88058.0
2019-08-14,495529.0,69637.0,105.0,62513.0
2019-08-15,1244093.0,118864.0,109.0,76228.0
2019-08-16,620397.0,60923.0,106.0,56017.0
2019-08-17,1280462.0,90857.0,74.0,96585.0
2019-08-18,857119.0,95272.0,141.0,109220.0
2019-08-19,834595.0,52769.0,217.0,123665.0
2019-08-20,397167.0,37530.0,150.0,150207.0
2019-08-21,215007.0,41704.0,109.0,123949.0
2019-08-22,367291.0,39244.0,334.0,101957.0
2019-08-23,303694.0,42445.0,392.0,81966.0
2019-08-24,520336.0,28735.0,218.0,64355.0
2019-08-25,418749.0,20578.0,77.0,123382.0
2019-08-26,274732.0,23788.0,66.0,111652.0
2019-08-27,302623.0,30343.0,46.0,23710.0
2019-08-28,325181.0,27134.0,195.0,22624.0
2019-08-29,305884.0,28971.0,33.0,59359.0
2019-08-30,108195.0,24732.0,54.0,51453.0
2019-08-31,548526.0,70557.0,135.0,45920.0
2019-09-01,754981.0,48007.0,53.0,131565.0
2019-09-02,546699.0,52110.0,63.0,211650.0
2019-09-03,878195.0,38026.0,315.0,84624.0
2019-09-04,913308.0,82321.0,174.0,114188.0
2019-09-05,1468166.0,85157.0,110.0,228930.0
2019-09-06,804076.0,63881.0,482.0,243576.0
2019-09-07,247808.0,60905.0,123.0,204031.0
2019-09-08,98228.0,50437.0,274.0,109553.0
2019-09-09,456444.0,26708.0,197.0,97725.0
2019-09-10,952485.0,35601.0,246.0,287537.0
2019-09-11,1140697.0,59306.0,169.0,241630.0
2019-09-12,823080.0,40531.0,172.0,147519.0
2019-09-13,993016.0,42694.0,120.0,166283.0
2019-09-14,264556.0,47250.0,195.0,154030.0
2019-09-15,1263504.0,29184.0,101.0,97862.0
2019-09-16,534878.0,29677.0,93.0,32759.0
2019-09-17,1959964.0,61660.0,258.0,39195.0
2019-09-18,1306794.0,129864.0,77.0,30152.0
2019-09-19,599338.0,136672.0,351.0,36631.0
2019-09-20,408874.0,133968.0,476.0,117939.0
2019-09-21,615268.0,118451.0,290.0,154709.0
2019-09-22,741424.0,108853.0,310.0,140164.0
2019-09-23,517705.0,70799.0,180.0,107618.0
2019-09-24,363922.0,123111.0,169.0,159643.0
2019-09-25,545576.0,128681.0,325.0,92871.0
2019-09-26,844125.0,148715.0,60.0,59461.0
2019-09-27,1215141.0,143051.0,322.0,50877.0
2019-09-28,2223602.0,144271.0,685.0,42258.0
2019-09-29,2388530.0,229655.0,555.0,98155.0
2019-09-30,2624936.0,91673.0,587.0,51545.0
2019-10-01,1484137.0,145622.0,261.0,147938.0
2019-10-02,1392579.0,101258.0,376.0,150919.0
2019-10-03,835968.0,54683.0,484.0,104521.0
2019-10-04,979996.0,144710.0,188.0,46558.0
2019-10-05,937771.0,48033.0,40.0,45252.0
2019-10-06,988463.0,135860.0,85.0,85211.0
2019-10-07,489448.0,85590.0,590.0,102072.0
