,DE_LU_HYDRORIVER,FR_HYDRORIVER,IT_NORD_HYDRORIVER,ES_HYDRORIVER
2019-04-12,164443.0,105899.0,63775.0,27098.0
2019-04-13,158476.0,89559.0,55865.0,24086.0
2019-04-14,147702.0,83750.0,54101.0,24026.0
2019-04-15,143846.0,90979.0,59589.0,26996.0
2019-04-16,146729.0,104532.0,57034.0,29990.0
2019-04-17,154646.0,102739.0,58186.0,27805.0
2019-04-18,155608.0,100997.0,55001.0,27624.0
2019-04-19,156423.0,100113.0,58162.0,28105.0
2019-04-20,157340.0,100617.0,55357.0,27353.0
2019-04-21,159715.0,94229.0,54622.0,27495.0
2019-04-22,154501.0,87875.0,58126.0,26512.0
2019-04-23,162843.0,103123.0,80733.0,27893.0
2019-04-24,171755.0,106217.0,91546.0,28320.0
2019-04-25,178317.0,115629.0,94328.0,31306.0
2019-04-26,191670.0,136188.0,101932.0,35363.0
2019-04-27,191049.0,120101.0,100150.0,32370.0
2019-04-28,185273.0,117868.0,91317.0,30733.0
2019-04-29,181956.0,131685.0,94090.0,31643.0
2019-04-30,184495.0,134226.0,93342.0,31397.0
2019-05-01,171863.0,111287.0,83658.0,27671.0
2019-05-02,162162.0,121983.0,89902.0,28014.0
2019-05-03,181596.0,127473.0,93409.0,28443.0
2019-05-04,178985.0,112568.0,86527.0,26837.0
2019-05-05,171283.0,104999.0,81186.0,26129.0
2019-05-06,169138.0,119040.0,82421.0,27356.0
2019-05-07,176895.0,119240.0,79430.0,26040.0
2019-05-08,176662.0,116287.0,81460.0,26393.0
2019-05-09,174811.0,144485.0,81958.0,27992.0
2019-05-10,180732.0,153097.0,85129.0,30057.0
2019-05-11,183825.0,147167.0,82818.0,28763.0
2019-05-12,193596.0,135242.0,84372.0,26942.0
2019-05-13,186637.0,135967.0,93355.0,26458.0
2019-05-14,184308.0,129143.0,85709.0,26151.0
2019-05-15,172577.0,129429.0,93282.0,25408.0
2019-05-16,165007.0,125999.0,84403.0,24859.0
2019-05-17,172079.0,129128.0,83292.0,28391.0
2019-05-18,171948.0,123812.0,77646.0,28829.0
2019-05-19,170745.0,114050.0,84009.0,28380.0
2019-05-20,193641.0,142424.0,94472.0,29472.0
2019-05-21,179092.0,143518.0,100498.0,29725.0
2019-05-22,184149.0,140838.0,99140.0,29402.0
2019-05-23,190709.0,143565.0,105889.0,27902.0
2019-05-24,194719.0,152777.0,110522.0,28158.0
2019-05-25,201238.0,148532.0,107739.0,27337.0
2019-05-26,200377.0,136556.0,114950.0,26943.0
2019-05-27,204317.0,146265.0,120379.0,26515.0
2019-05-28,201004.0,149082.0,117573.0,26595.0
2019-05-29,192597.0,148200.0,120538.0,25953.0
2019-05-30,200835.0,125488.0,117158.0,25526.0
2019-05-31,205378.0,135124.0,117349.0,25916.0
2019-06-01,205877.0,132706.0,112640.0,24703.0
2019-06-02,205837.0,124392.0,117199.0,24203.0
2019-06-03,204060.0,136359.0,126978.0,24899.0
2019-06-04,191516.0,139516.0,134696.0,24428.0
2019-06-05,194982.0,142168.0,135663.0,25329.0
2019-06-06,189315.0,138412.0,137300.0,26693.0
2019-06-07,190358.0,140256.0,133432.0,25745.0
2019-06-08,174604.0,127916.0,125755.0,23567.0
2019-06-09,197944.0,134529.0,130690.0,21898.0
2019-06-10,193662.0,141837.0,135049.0,22726.0
2019-06-11,164941.0,151797.0,131441.0,23296.0
2019-06-12,150191.0,151743.0,134734.0,22732.0
2019-06-13,151156.0,154580.0,136185.0,21793.0
2019-06-14,167727.0,157401.0,140338.0,20689.0
2019-06-15,176182.0,155296.0,135216.0,18807.0
2019-06-16,177151.0,152784.0,136019.0,19268.0
2019-06-17,185703.0,154017.0,141875.0,20614.0
2019-06-18,184858.0,147947.0,144127.0,20346.0
2019-06-19,183452.0,150701.0,140955.0,21099.0
2019-06-20,185083.0,150396.0,139127.0,22357.0
2019-06-21,187409.0,149246.0,134747.0,23345.0
2019-06-22,190187.0,141568.0,130732.0,20466.0
2019-06-23,197887.0,137137.0,126658.0,20394.0
2019-06-24,199188.0,140624.0,130955.0,21880.0
2019-06-25,191770.0,139474.0,135672.0,21033.0
2019-06-26,186237.0,138334.0,139851.0,20143.0
2019-06-27,183157.0,139696.0,133312.0,19556.0
2019-06-28,178294.0,142074.0,137156.0,20917.0
2019-06-29,182684.0,134746.0,127438.0,19613.0
2019-06-30,183893.0,127633.0,123794.0,19235.0
2019-07-01,185626.0,128160.0,141989.0,19185.0
2019-07-02,184214.0,126654.0,140151.0,19580.0
2019-07-03,189523.0,121358.0,132755.0,19955.0
2019-07-04,190630.0,118584.0,136579.0,20348.0
2019-07-05,190521.0,120905.0,130687.0,21203.0
2019-07-06,190017.0,114646.0,123932.0,18664.0
2019-07-07,192750.0,110076.0,117668.0,17641.0
2019-07-08,193024.0,111779.0,128626.0,18564.0
2019-07-09,189358.0,109153.0,126792.0,20376.0
2019-07-10,186007.0,103009.0,121786.0,19497.0
2019-07-11,185915.0,93936.0,120366.0,19157.0
2019-07-12,184742.0,96252.0,117714.0,19202.0
2019-07-13,192742.0,93443.0,101211.0,16256.0
2019-07-14,189074.0,83619.0,87899.0,16310.0
2019-07-15,181785.0,90469.0,115291.0,18095.0
2019-07-16,176928.0,87808.0,104813.0,18467.0
2019-07-17,174535.0,85582.0,106474.0,18232.0
2019-07-18,173649.0,86573.0,108112.0,17965.0
2019-07-19,169100.0,90707.0,117931.0,17543.0
2019-07-20,165671.0,75131.0,87774.0,16294.0
2019-07-21,165420.0,73296.0,85494.0,15704.0
2019-07-22,157718.0,88242.0,108788.0,17326.0
2019-07-23,168091.0,91737.0,109353.0,17323.0
2019-07-24,167362.0,91585.0,110628.0,18057.0
2019-07-25,170025.0,76480.0,111116.0,17155.0
2019-07-26,173937.0,86848.0,110678.0,17087.0
2019-07-27,173149.0,84616.0,105915.0,15781.0
2019-07-28,176312.0,99065.0,97035.0,16049.0
2019-07-29,178757.0,105136.0,105633.0,16102.0
2019-07-30,188565.0,95387.0,104075.0,15993.0
2019-07-31,189449.0,93115.0,114194.0,15465.0
2019-08-01,181892.0,88725.0,100562.0,16023.0
2019-08-02,182130.0,80113.0,105647.0,16235.0
2019-08-03,183231.0,70160.0,81452.0,15149.0
2019-08-04,172875.0,66849.0,79443.0,15234.0
2019-08-05,167247.0,73384.0,95419.0,16107.0
2019-08-06,175724.0,85004.0,94603.0,16068.0
2019-08-07,183052.0,89561.0,107506.0,17022.0
2019-08-08,188779.0,89058.0,103565.0,16041.0
2019-08-09,185684.0,84164.0,102192.0,16364.0
2019-08-10,181075.0,80435.0,91684.0,14536.0
2019-08-11,171805.0,81063.0,92846.0,13596.0
2019-08-12,179372.0,93095.0,101961.0,15422.0
2019-08-13,196170.0,85236.0,93616.0,15998.0
