,DE_LU_COALGAS,IT_NORD_COALGAS,ES_COALGAS
2019-09-19,0.0,231.0,0.0
2019-09-20,0.0,266.0,0.0
2019-09-21,0.0,293.0,0.0
2019-09-22,0.0,293.0,0.0
2019-09-23,0.0,266.0,0.0
2019-09-24,0.0,269.0,0.0
2019-09-25,0.0,283.0,0.0
2019-09-26,0.0,286.0,0.0
2019-09-27,0.0,277.0,0.0
2019-09-28,0.0,293.0,0.0
2019-09-29,0.0,289.0,0.0
2019-09-30,0.0,263.0,0.0
2019-10-01,0.0,244.0,0.0
2019-10-02,0.0,290.0,0.0
2019-10-03,0.0,269.0,0.0
2019-10-04,0.0,264.0,0.0
2019-10-05,0.0,290.0,0.0
2019-10-06,0.0,297.0,0.0
2019-10-07,0.0,274.0,0.0
2019-10-08,0.0,276.0,0.0
2019-10-09,0.0,273.0,0.0
2019-10-10,0.0,266.0,0.0
2019-10-11,0.0,273.0,0.0
2019-10-12,0.0,318.0,0.0
2019-10-13,0.0,301.0,0.0
2019-10-14,0.0,294.0,0.0
2019-10-15,0.0,284.0,0.0
2019-10-16,0.0,258.0,0.0
2019-10-17,0.0,239.0,0.0
2019-10-18,0.0,268.0,0.0
2019-10-19,0.0,283.0,0.0
2019-10-20,0.0,264.0,0.0
2019-10-21,0.0,219.0,0.0
2019-10-22,0.0,189.0,0.0
2019-10-23,0.0,261.0,0.0
2019-10-24,0.0,278.0,0.0
2019-10-25,0.0,287.0,0.0
2019-10-26,0.0,317.0,0.0
2019-10-27,0.0,315.0,0.0
2019-10-28,0.0,291.0,0.0
2019-10-29,0.0,295.0,0.0
2019-10-30,0.0,299.0,0.0
2019-10-31,0.0,303.0,0.0
2019-11-01,0.0,313.0,0.0
2019-11-02,0.0,322.0,0.0
2019-11-03,0.0,298.0,0.0
2019-11-04,0.0,264.0,0.0
2019-11-05,0.0,267.0,0.0
2019-11-06,0.0,265.0,0.0
2019-11-07,0.0,240.0,0.0
2019-11-08,0.0,256.0,0.0
2019-11-09,0.0,275.0,0.0
2019-11-10,0.0,287.0,0.0
2019-11-11,0.0,251.0,0.0
2019-11-12,0.0,235.0,0.0
2019-11-13,0.0,246.0,0.0
2019-11-14,0.0,249.0,0.0
2019-11-15,0.0,188.0,0.0
2019-11-16,0.0,267.0,0.0
2019-11-17,0.0,263.0,0.0
2019-11-18,0.0,206.0,0.0
2019-11-19,0.0,213.0,0.0
2019-11-20,0.0,241.0,0.0
2019-11-21,0.0,242.0,0.0
2019-11-22,0.0,261.0,0.0
2019-11-23,0.0,247.0,0.0
2019-11-24,0.0,228.0,0.0
2019-11-25,0.0,236.0,0.0
2019-11-26,0.0,217.0,0.0
2019-11-27,0.0,222.0,0.0
2019-11-28,0.0,230.0,0.0
2019-11-29,0.0,225.0,0.0
2019-11-30,0.0,261.0,0.0
2019-12-01,0.0,254.0,0.0
2019-12-02,0.0,221.0,0.0
2019-12-03,0.0,153.0,0.0
2019-12-04,0.0,53.0,0.0
2019-12-05,0.0,222.0,0.0
2019-12-06,0.0,251.0,0.0
2019-12-07,0.0,257.0,0.0
2019-12-08,0.0,282.0,0.0
2019-12-09,0.0,283.0,0.0
2019-12-10,0.0,287.0,0.0
2019-12-11,0.0,289.0,0.0
2019-12-12,0.0,262.0,0.0
2019-12-13,0.0,250.0,0.0
2019-12-14,0.0,299.0,0.0
2019-12-15,0.0,302.0,0.0
2019-12-16,0.0,279.0,0.0
2019-12-17,0.0,262.0,0.0
2019-12-18,0.0,265.0,0.0
2019-12-19,0.0,259.0,0.0
2019-12-20,0.0,260.0,0.0
2019-12-21,0.0,304.0,0.0
2019-12-22,0.0,298.0,0.0
2019-12-23,0.0,269.0,0.0
2019-12-24,0.0,284.0,0.0
2019-12-25,0.0,297.0,0.0
2019-12-26,0.0,309.0,0.0
2019-12-27,0.0,270.0,0.0
2019-12-28,0.0,301.0,0.0
2019-12-29,0.0,289.0,0.0
2019-12-30,0.0,281.0,0.0
2019-12-31,0.0,283.0,0.0
2020-01-01,0.0,302.0,0.0
2020-01-02,0.0,250.0,0.0
2020-01-03,0.0,226.0,0.0
2020-01-04,0.0,295.0,0.0
2020-01-05,0.0,297.0,0.0
2020-01-06,0.0,313.0,0.0
2020-01-07,0.0,285.0,0.0
2020-01-08,0.0,288.0,0.0
2020-01-09,0.0,272.0,0.0
2020-01-10,0.0,270.0,0.0
2020-01-11,0.0,267.0,0.0
2020-01-12,0.0,299.0,0.0
2020-01-13,0.0,269.0,0.0
2020-01-14,0.0,231.0,0.0
2020-01-15,0.0,78.0,0.0
2020-01-16,0.0,302.0,0.0
2020-01-17,0.0,284.0,0.0
2020-01-18,0.0,313.0,0.0
2020-01-19,0.0,296.0,0.0
2020-01-20,0.0,285.0,0.0
2020-01-21,0.0,277.0,0.0
2020-01-22,0.0,288.0,0.0
2020-01-23,0.0,256.0,0.0
2020-01-24,0.0,281.0,0.0
2020-01-25,0.0,310.0,0.0
2020-01-26,0.0,293.0,0.0
2020-01-27,0.0,275.0,0.0
2020-01-28,0.0,267.0,0.0
2020-01-29,0.0,274.0,0.0
2020-01-30,0.0,282.0,0.0
2020-01-31,0.0,280.0,0.0
2020-02-01,0.0,298.0,0.0
2020-02-02,0.0,308.0,0.0
2020-02-03,0.0,264.0,0.0
2020-02-04,0.0,271.0,0.0
2020-02-05,0.0,248.0,0.0
2020-02-06,0.0,261.0,0.0
2020-02-07,0.0,242.0,0.0
2020-02-08,0.0,240.0,0.0
2020-02-09,0.0,247.0,0.0
2020-02-10,0.0,201.0,0.0
2020-02-11,0.0,232.0,0.0
2020-02-12,0.0,250.0,0.0
2020-02-13,0.0,195.0,0.0
2020-02-14,0.0,211.0,0.0
2020-02-15,0.0,231.0,0.0
2020-02-16,0.0,231.0,0.0
2020-02-17,0.0,206.0,0.0
2020-02-18,0.0,224.0,0.0
2020-02-19,0.0,188.0,0.0
2020-02-20,0.0,220.0,0.0
2020-02-21,0.0,220.0,0.0
2020-02-22,0.0,246.0,0.0
2020-02-23,0.0,240.0,0.0
2020-02-24,0.0,206.0,0.0
2020-02-25,0.0,210.0,0.0
2020-02-26,0.0,203.0,0.0
2020-02-27,0.0,201.0,0.0
2020-02-28,0.0,205.0,0.0
2020-02-29,0.0,256.0,0.0
2020-03-01,0.0,249.0,0.0
2020-03-02,0.0,217.0,0.0
2020-03-03,0.0,181.0,0.0
2020-03-04,0.0,204.0,0.0
2020-03-05,0.0,197.0,0.0
2020-03-06,0.0,208.0,0.0
2020-03-07,0.0,245.0,0.0
2020-03-08,0.0,253.0,0.0
2020-03-09,0.0,195.0,0.0
2020-03-10,0.0,206.0,0.0
2020-03-11,0.0,214.0,0.0
2020-03-12,0.0,233.0,0.0
2020-03-13,0.0,241.0,0.0
2020-03-14,0.0,279.0,0.0
2020-03-15,0.0,271.0,0.0
2020-03-16,0.0,268.0,0.0
2020-03-17,0.0,275.0,0.0
2020-03-18,0.0,266.0,0.0
2020-03-19,0.0,277.0,0.0
2020-03-20,0.0,273.0,0.0
2020-03-21,0.0,281.0,0.0
2020-03-22,0.0,267.0,0.0
2020-03-23,0.0,271.0,0.0
2020-03-24,0.0,275.0,0.0
2020-03-25,0.0,253.0,0.0
2020-03-26,0.0,251.0,0.0
2020-03-27,0.0,260.0,0.0
2020-03-28,0.0,296.0,0.0
2020-03-29,0.0,285.0,0.0
2020-03-30,0.0,271.0,0.0
2020-03-31,0.0,256.0,0.0
2020-04-01,0.0,250.0,0.0
2020-04-02,0.0,285.0,0.0
2020-04-03,0.0,261.0,0.0
2020-04-04,0.0,274.0,0.0
2020-04-05,0.0,268.0,0.0
2020-04-06,0.0,248.0,0.0
2020-04-07,0.0,248.0,0.0
2020-04-08,0.0,247.0,0.0
2020-04-09,0.0,240.0,0.0
2020-04-10,0.0,258.0,0.0
2020-04-11,0.0,273.0,0.0
2020-04-12,0.0,268.0,0.0
2020-04-13,0.0,179.0,0.0
2020-04-14,0.0,217.0,0.0
2020-04-15,0.0,256.0,0.0
2020-04-16,0.0,215.0,0.0
2020-04-17,0.0,241.0,0.0
2020-04-18,0.0,280.0,0.0
2020-04-19,0.0,251.0,0.0
2020-04-20,0.0,202.0,0.0
2020-04-21,0.0,215.0,0.0
2020-04-22,0.0,206.0,0.0
2020-04-23,0.0,206.0,0.0
2020-04-24,0.0,231.0,0.0
2020-04-25,0.0,244.0,0.0
2020-04-26,0.0,235.0,0.0
2020-04-27,0.0,228.0,0.0
2020-04-28,0.0,224.0,0.0
2020-04-29,0.0,201.0,0.0
2020-04-30,0.0,208.0,0.0
2020-05-01,0.0,240.0,0.0
2020-05-02,0.0,245.0,0.0
2020-05-03,0.0,242.0,0.0
2020-05-04,0.0,218.0,0.0
2020-05-05,0.0,225.0,0.0
2020-05-06,0.0,236.0,0.0
2020-05-07,0.0,254.0,0.0
2020-05-08,0.0,255.0,0.0
2020-05-09,0.0,306.0,0.0
2020-05-10,0.0,289.0,0.0
2020-05-11,0.0,261.0,0.0
2020-05-12,0.0,244.0,0.0
2020-05-13,0.0,217.0,0.0
2020-05-14,0.0,198.0,0.0
2020-05-15,0.0,216.0,0.0
2020-05-16,0.0,250.0,0.0
2020-05-17,0.0,244.0,0.0
2020-05-18,0.0,233.0,0.0
2020-05-19,0.0,239.0,0.0
2020-05-20,0.0,234.0,0.0
2020-05-21,0.0,244.0,0.0
2020-05-22,0.0,255.0,0.0
2020-05-23,0.0,286.0,0.0
2020-05-24,0.0,279.0,0.0
2020-05-25,0.0,240.0,0.0
2020-05-26,0.0,247.0,0.0
2020-05-27,0.0,248.0,0.0
2020-05-28,0.0,242.0,0.0
2020-05-29,0.0,251.0,0.0
2020-05-30,0.0,282.0,0.0
2020-05-31,0.0,281.0,0.0
2020-06-01,0.0,277.0,0.0
2020-06-02,0.0,276.0,0.0
2020-06-03,0.0,245.0,0.0
2020-06-04,0.0,245.0,0.0
2020-06-05,0.0,231.0,0.0
2020-06-06,0.0,283.0,0.0
2020-06-07,0.0,279.0,0.0
2020-06-08,0.0,256.0,0.0
2020-06-09,0.0,237.0,0.0
2020-06-10,0.0,232.0,0.0
2020-06-11,0.0,244.0,0.0
2020-06-12,0.0,246.0,0.0
2020-06-13,0.0,269.0,0.0
2020-06-14,0.0,219.0,0.0
2020-06-15,0.0,229.0,0.0
2020-06-16,0.0,241.0,0.0
2020-06-17,0.0,256.0,0.0
2020-06-18,0.0,231.0,0.0
2020-06-19,0.0,237.0,0.0
2020-06-20,0.0,264.0,0.0
2020-06-21,0.0,284.0,0.0
2020-06-22,0.0,276.0,0.0
2020-06-23,0.0,246.0,0.0
2020-06-24,0.0,232.0,0.0
2020-06-25,0.0,205.0,0.0
2020-06-26,0.0,220.0,0.0
2020-06-27,0.0,277.0,0.0
2020-06-28,0.0,266.0,0.0
2020-06-29,0.0,240.0,0.0
2020-06-30,0.0,202.0,0.0
2020-07-01,0.0,218.0,0.0
2020-07-02,0.0,214.0,0.0
2020-07-03,0.0,236.0,0.0
2020-07-04,0.0,259.0,0.0
2020-07-05,0.0,256.0,0.0
2020-07-06,0.0,233.0,0.0
2020-07-07,0.0,231.0,0.0
2020-07-08,0.0,245.0,0.0
2020-07-09,0.0,229.0,0.0
2020-07-10,0.0,244.0,0.0
2020-07-11,0.0,274.0,0.0
2020-07-12,0.0,265.0,0.0
2020-07-13,0.0,242.0,0.0
2020-07-14,0.0,247.0,0.0
2020-07-15,0.0,238.0,0.0
2020-07-16,0.0,258.0,0.0
2020-07-17,0.0,253.0,0.0
2020-07-18,0.0,290.0,0.0
2020-07-19,0.0,273.0,0.0
2020-07-20,0.0,248.0,0.0
2020-07-21,0.0,267.0,0.0
2020-07-22,0.0,272.0,0.0
2020-07-23,0.0,255.0,0.0
2020-07-24,0.0,267.0,0.0
2020-07-25,0.0,297.0,0.0
2020-07-26,0.0,308.0,0.0
2020-07-27,0.0,297.0,0.0
2020-07-28,0.0,275.0,0.0
2020-07-29,0.0,279.0,0.0
2020-07-30,0.0,269.0,0.0
2020-07-31,0.0,273.0,0.0
2020-08-01,0.0,330.0,0.0
2020-08-02,0.0,277.0,0.0
2020-08-03,0.0,217.0,0.0
2020-08-04,0.0,211.0,0.0
2020-08-05,0.0,207.0,0.0
2020-08-06,0.0,214.0,0.0
2020-08-07,0.0,221.0,0.0
2020-08-08,0.0,302.0,0.0
2020-08-09,0.0,303.0,0.0
2020-08-10,0.0,299.0,0.0
2020-08-11,0.0,274.0,0.0
2020-08-12,0.0,262.0,0.0
2020-08-13,0.0,258.0,0.0
2020-08-14,0.0,266.0,0.0
2020-08-15,0.0,295.0,0.0
2020-08-16,0.0,296.0,0.0
2020-08-17,0.0,263.0,0.0
2020-08-18,0.0,259.0,0.0
2020-08-19,0.0,253.0,0.0
2020-08-20,0.0,286.0,0.0
2020-08-21,0.0,256.0,0.0
2020-08-22,0.0,302.0,0.0
2020-08-23,0.0,294.0,0.0
2020-08-24,0.0,261.0,0.0
2020-08-25,0.0,287.0,0.0
2020-08-26,0.0,301.0,0.0
2020-08-27,0.0,305.0,0.0
2020-08-28,0.0,301.0,0.0
2020-08-29,0.0,311.0,0.0
2020-08-30,0.0,299.0,0.0
2020-08-31,0.0,264.0,0.0
2020-09-01,0.0,260.0,0.0
2020-09-02,0.0,278.0,0.0
2020-09-03,0.0,288.0,0.0
2020-09-04,0.0,290.0,0.0
2020-09-05,0.0,311.0,0.0
2020-09-06,0.0,285.0,0.0
2020-09-07,0.0,247.0,0.0
2020-09-08,0.0,256.0,0.0
2020-09-09,0.0,276.0,0.0
2020-09-10,0.0,238.0,0.0
2020-09-11,0.0,297.0,0.0
2020-09-12,0.0,298.0,0.0
2020-09-13,0.0,293.0,0.0
2020-09-14,0.0,275.0,0.0
2020-09-15,0.0,236.0,0.0
2020-09-16,0.0,257.0,0.0
2020-09-17,0.0,220.0,0.0
2020-09-18,0.0,260.0,0.0
2020-09-19,0.0,307.0,0.0
2020-09-20,0.0,296.0,0.0
2020-09-21,0.0,265.0,0.0
2020-09-22,0.0,264.0,0.0
2020-09-23,0.0,277.0,0.0
2020-09-24,0.0,281.0,0.0
2020-09-25,0.0,280.0,0.0
2020-09-26,0.0,307.0,0.0
2020-09-27,0.0,292.0,0.0
2020-09-28,0.0,282.0,0.0
2020-09-29,0.0,260.0,0.0
2020-09-30,0.0,262.0,0.0
2020-10-01,0.0,266.0,0.0
2020-10-02,0.0,249.0,0.0
2020-10-03,0.0,282.0,0.0
2020-10-04,0.0,291.0,0.0
2020-10-05,0.0,259.0,0.0
2020-10-06,0.0,267.0,0.0
2020-10-07,0.0,250.0,0.0
2020-10-08,0.0,267.0,0.0
2020-10-09,0.0,251.0,0.0
2020-10-10,0.0,272.0,0.0
2020-10-11,0.0,275.0,0.0
2020-10-12,0.0,261.0,0.0
2020-10-13,0.0,246.0,0.0
2020-10-14,0.0,253.0,0.0
2020-10-15,0.0,234.0,0.0
2020-10-16,0.0,256.0,0.0
2020-10-17,0.0,274.0,0.0
2020-10-18,0.0,268.0,0.0
2020-10-19,0.0,235.0,0.0
2020-10-20,0.0,249.0,0.0
2020-10-21,0.0,217.0,0.0
2020-10-22,0.0,214.0,0.0
2020-10-23,0.0,220.0,0.0
2020-10-24,0.0,88.0,0.0
2020-10-25,0.0,199.0,0.0
2020-10-26,0.0,266.0,0.0
2020-10-27,0.0,262.0,0.0
2020-10-28,0.0,209.0,0.0
2020-10-29,0.0,251.0,0.0
2020-10-30,0.0,270.0,0.0
2020-10-31,0.0,290.0,0.0
2020-11-01,0.0,280.0,0.0
2020-11-02,0.0,276.0,0.0
2020-11-03,0.0,272.0,0.0
2020-11-04,0.0,248.0,0.0
2020-11-05,0.0,249.0,0.0
2020-11-06,0.0,269.0,0.0
2020-11-07,0.0,307.0,0.0
2020-11-08,0.0,271.0,0.0
2020-11-09,0.0,260.0,0.0
2020-11-10,0.0,252.0,0.0
2020-11-11,0.0,248.0,0.0
2020-11-12,0.0,267.0,0.0
2020-11-13,0.0,287.0,0.0
2020-11-14,0.0,272.0,0.0
2020-11-15,0.0,277.0,0.0
2020-11-16,0.0,257.0,0.0
2020-11-17,0.0,257.0,0.0
2020-11-18,0.0,259.0,0.0
2020-11-19,0.0,222.0,0.0
2020-11-20,0.0,249.0,0.0
2020-11-21,0.0,273.0,0.0
2020-11-22,0.0,284.0,0.0
2020-11-23,0.0,253.0,0.0
2020-11-24,0.0,247.0,0.0
2020-11-25,0.0,227.0,0.0
2020-11-26,0.0,228.0,0.0
2020-11-27,0.0,228.0,0.0
2020-11-28,0.0,240.0,0.0
2020-11-29,0.0,278.0,0.0
2020-11-30,0.0,234.0,0.0
2020-12-01,0.0,223.0,0.0
2020-12-02,0.0,217.0,0.0
2020-12-03,0.0,225.0,0.0
2020-12-04,0.0,204.0,0.0
2020-12-05,0.0,259.0,0.0
2020-12-06,0.0,262.0,0.0
2020-12-07,0.0,268.0,0.0
2020-12-08,0.0,283.0,0.0
2020-12-09,0.0,266.0,0.0
2020-12-10,0.0,224.0,0.0
2020-12-11,0.0,260.0,0.0
2020-12-12,0.0,297.0,0.0
2020-12-13,0.0,303.0,0.0
2020-12-14,0.0,265.0,0.0
2020-12-15,0.0,293.0,0.0
2020-12-16,0.0,271.0,0.0
2020-12-17,0.0,260.0,0.0
2020-12-18,0.0,235.0,0.0
2020-12-19,0.0,292.0,0.0
2020-12-20,0.0,302.0,0.0
2020-12-21,0.0,267.0,0.0
