,OECDplus6_WIP
2019-01-01,133.32330505965876
2019-01-02,133.32330505965876
2019-01-03,133.32330505965876
2019-01-04,133.32330505965876
2019-01-05,133.32330505965876
2019-01-06,133.32330505965876
2019-01-07,133.32330505965876
2019-01-08,133.32330505965876
2019-01-09,133.32330505965876
2019-01-10,133.32330505965876
2019-01-11,133.32330505965876
2019-01-12,133.32330505965876
2019-01-13,133.32330505965876
2019-01-14,133.32330505965876
2019-01-15,133.32330505965876
2019-01-16,133.32330505965876
2019-01-17,133.32330505965876
2019-01-18,133.32330505965876
2019-01-19,133.32330505965876
2019-01-20,133.32330505965876
2019-01-21,133.32330505965876
2019-01-22,133.32330505965876
2019-01-23,133.32330505965876
2019-01-24,133.32330505965876
2019-01-25,133.32330505965876
2019-01-26,133.32330505965876
2019-01-27,133.32330505965876
2019-01-28,133.32330505965876
2019-01-29,133.32330505965876
2019-01-30,133.32330505965876
2019-01-31,133.32330505965876
2019-02-01,133.52820530944842
2019-02-02,133.52820530944842
2019-02-03,133.52820530944842
2019-02-04,133.52820530944842
2019-02-05,133.52820530944842
2019-02-06,133.52820530944842
2019-02-07,133.52820530944842
2019-02-08,133.52820530944842
2019-02-09,133.52820530944842
2019-02-10,133.52820530944842
2019-02-11,133.52820530944842
2019-02-12,133.52820530944842
2019-02-13,133.52820530944842
2019-02-14,133.52820530944842
2019-02-15,133.52820530944842
2019-02-16,133.52820530944842
2019-02-17,133.52820530944842
2019-02-18,133.52820530944842
2019-02-19,133.52820530944842
2019-02-20,133.52820530944842
2019-02-21,133.52820530944842
2019-02-22,133.52820530944842
2019-02-23,133.52820530944842
2019-02-24,133.52820530944842
2019-02-25,133.52820530944842
2019-02-26,133.52820530944842
2019-02-27,133.52820530944842
2019-02-28,133.52820530944842
2019-03-01,134.3096100111808
2019-03-02,134.3096100111808
2019-03-03,134.3096100111808
2019-03-04,134.3096100111808
2019-03-05,134.3096100111808
2019-03-06,134.3096100111808
2019-03-07,134.3096100111808
2019-03-08,134.3096100111808
2019-03-09,134.3096100111808
2019-03-10,134.3096100111808
2019-03-11,134.3096100111808
2019-03-12,134.3096100111808
2019-03-13,134.3096100111808
2019-03-14,134.3096100111808
2019-03-15,134.3096100111808
2019-03-16,134.3096100111808
2019-03-17,134.3096100111808
2019-03-18,134.3096100111808
2019-03-19,134.3096100111808
2019-03-20,134.3096100111808
2019-03-21,134.3096100111808
2019-03-22,134.3096100111808
2019-03-23,134.3096100111808
2019-03-24,134.3096100111808
2019-03-25,134.3096100111808
2019-03-26,134.3096100111808
2019-03-27,134.3096100111808
2019-03-28,134.3096100111808
2019-03-29,134.3096100111808
2019-03-30,134.3096100111808
2019-03-31,134.3096100111808
2019-04-01,133.90617451103617
2019-04-02,133.90617451103617
2019-04-03,133.90617451103617
2019-04-04,133.90617451103617
2019-04-05,133.90617451103617
2019-04-06,133.90617451103617
2019-04-07,133.90617451103617
2019-04-08,133.90617451103617
2019-04-09,133.90617451103617
2019-04-10,133.90617451103617
2019-04-11,133.90617451103617
2019-04-12,133.90617451103617
2019-04-13,133.90617451103617
2019-04-14,133.90617451103617
2019-04-15,133.90617451103617
2019-04-16,133.90617451103617
2019-04-17,133.90617451103617
2019-04-18,133.90617451103617
2019-04-19,133.90617451103617
2019-04-20,133.90617451103617
2019-04-21,133.90617451103617
2019-04-22,133.90617451103617
2019-04-23,133.90617451103617
2019-04-24,133.90617451103617
2019-04-25,133.90617451103617
2019-04-26,133.90617451103617
2019-04-27,133.90617451103617
2019-04-28,133.90617451103617
2019-04-29,133.90617451103617
2019-04-30,133.90617451103617
2019-05-01,134.10547922959668
2019-05-02,134.10547922959668
2019-05-03,134.10547922959668
2019-05-04,134.10547922959668
2019-05-05,134.10547922959668
2019-05-06,134.10547922959668
2019-05-07,134.10547922959668
2019-05-08,134.10547922959668
2019-05-09,134.10547922959668
2019-05-10,134.10547922959668
2019-05-11,134.10547922959668
2019-05-12,134.10547922959668
2019-05-13,134.10547922959668
