,European_News_Index,Germany_News_Index,Italy_News_Index,UK_News_Index,France_News_Index,Spain_News_Index
2019-01-01,247.67710876464844,168.0872344970703,169.9978485107422,406.90740966796875,363.0477294921875,131.97442626953125
2019-01-02,247.67710876464844,168.0872344970703,169.9978485107422,406.90740966796875,363.0477294921875,131.97442626953125
2019-01-03,247.67710876464844,168.0872344970703,169.9978485107422,406.90740966796875,363.0477294921875,131.97442626953125
2019-01-04,247.67710876464844,168.0872344970703,169.9978485107422,406.90740966796875,363.0477294921875,131.97442626953125
2019-01-05,247.67710876464844,168.0872344970703,169.9978485107422,406.90740966796875,363.0477294921875,131.97442626953125
2019-01-06,247.67710876464844,168.0872344970703,169.9978485107422,406.90740966796875,363.0477294921875,131.97442626953125
2019-01-07,247.67710876464844,168.0872344970703,169.9978485107422,406.90740966796875,363.0477294921875,131.97442626953125
2019-01-08,247.67710876464844,168.0872344970703,169.9978485107422,406.90740966796875,363.0477294921875,131.97442626953125
2019-01-09,247.67710876464844,168.0872344970703,169.9978485107422,406.90740966796875,363.0477294921875,131.97442626953125
2019-01-10,247.67710876464844,168.0872344970703,169.9978485107422,406.90740966796875,363.0477294921875,131.97442626953125
2019-01-11,247.67710876464844,168.0872344970703,169.9978485107422,406.90740966796875,363.0477294921875,131.97442626953125
2019-01-12,247.67710876464844,168.0872344970703,169.9978485107422,406.90740966796875,363.0477294921875,131.97442626953125
2019-01-13,247.67710876464844,168.0872344970703,169.9978485107422,406.90740966796875,363.0477294921875,131.97442626953125
2019-01-14,247.67710876464844,168.0872344970703,169.9978485107422,406.90740966796875,363.0477294921875,131.97442626953125
2019-01-15,247.67710876464844,168.0872344970703,169.9978485107422,406.90740966796875,363.0477294921875,131.97442626953125
2019-01-16,247.67710876464844,168.0872344970703,169.9978485107422,406.90740966796875,363.0477294921875,131.97442626953125
2019-01-17,247.67710876464844,168.0872344970703,169.9978485107422,406.90740966796875,363.0477294921875,131.97442626953125
2019-01-18,247.67710876464844,168.0872344970703,169.9978485107422,406.90740966796875,363.0477294921875,131.97442626953125
2019-01-19,247.67710876464844,168.0872344970703,169.9978485107422,406.90740966796875,363.0477294921875,131.97442626953125
2019-01-20,247.67710876464844,168.0872344970703,169.9978485107422,406.90740966796875,363.0477294921875,131.97442626953125
2019-01-21,247.67710876464844,168.0872344970703,169.9978485107422,406.90740966796875,363.0477294921875,131.97442626953125
2019-01-22,247.67710876464844,168.0872344970703,169.9978485107422,406.90740966796875,363.0477294921875,131.97442626953125
2019-01-23,247.67710876464844,168.0872344970703,169.9978485107422,406.90740966796875,363.0477294921875,131.97442626953125
