,DE_LU_Eprice_max,FR_Eprice_max,IT_NORD_Eprice_max,ES_Eprice_max
2019-05-18,45.17,45.17,51.89,56.2
2019-05-19,43.33,43.33,57.6,57.45
2019-05-20,63.22,57.45,57.62,58.77
2019-05-21,57.61,57.61,57.61,59.27
2019-05-22,50.35,50.35,53.82,59.47
2019-05-23,55.18,52.38,54.17,59.66
2019-05-24,50.95,50.95,51.99,55.78
2019-05-25,44.71,44.71,48.51,50.51
2019-05-26,37.16,37.16,57.62,58.02
2019-05-27,50.59,43.75,57.39,58.39
2019-05-28,64.59,45.68,58.76,54.51
2019-05-29,53.92,46.45,51.66,57.02
2019-05-30,40.34,40.34,55.5,59.47
2019-05-31,48.23,43.98,59.41,59.21
2019-06-01,41.8,40.36,47.7,58.22
2019-06-02,38.13,38.13,58.0,58.73
2019-06-03,50.5,50.5,57.62,59.01
2019-06-04,55.43,47.69,54.3,55.38
2019-06-05,56.52,44.99,70.0,58.76
2019-06-06,59.09,42.91,69.96,56.85
2019-06-07,73.75,43.55,73.94,57.53
2019-06-08,27.31,28.72,49.09,49.02
2019-06-09,50.53,35.6,46.0,51.37
2019-06-10,40.83,40.0,61.76,50.64
2019-06-11,59.93,48.99,58.79,53.07
2019-06-12,62.61,51.22,60.0,51.22
2019-06-13,76.5,47.56,59.96,50.94
2019-06-14,64.69,49.04,59.61,51.2
2019-06-15,40.2,34.31,41.38,54.12
2019-06-16,51.6,41.02,48.0,54.64
2019-06-17,70.1,42.44,66.55,53.07
2019-06-18,67.12,42.05,65.46,53.89
2019-06-19,58.64,42.98,69.89,52.33
2019-06-20,51.96,44.71,64.0,51.0
2019-06-21,49.91,47.09,55.86,50.03
2019-06-22,37.91,34.8,46.3,49.61
2019-06-23,36.35,34.19,45.55,55.0
2019-06-24,56.78,39.45,54.5,52.0
2019-06-25,74.8,45.83,58.8,51.84
2019-06-26,60.08,37.14,72.09,51.6
2019-06-27,54.11,44.43,75.0,53.19
2019-06-28,66.53,48.54,68.0,53.69
2019-06-29,56.23,40.35,54.78,51.2
2019-06-30,43.19,43.19,60.0,53.88
2019-07-01,53.1,41.13,84.63,53.19
2019-07-02,50.96,44.0,73.18,53.77
2019-07-03,48.39,41.93,71.79,53.99
2019-07-04,44.98,43.58,69.0,58.0
2019-07-05,45.92,43.4,70.06,58.08
2019-07-06,32.12,35.12,60.0,56.78
2019-07-07,37.02,37.02,55.56,55.17
2019-07-08,42.9,42.9,58.42,57.69
2019-07-09,47.9,47.0,61.0,55.62
2019-07-10,53.19,53.19,58.02,56.57
2019-07-11,53.99,53.99,60.46,58.29
2019-07-12,58.4,53.74,62.09,60.1
2019-07-13,41.2,41.2,51.0,55.5
2019-07-14,43.72,43.72,45.0,58.31
2019-07-15,50.06,50.06,61.09,57.31
