,DE_LU_WINDOFFSHORE,ES_WINDOFFSHORE
2019-06-23,257044.0,0.0
2019-06-24,428284.0,0.0
2019-06-25,175057.0,0.0
2019-06-26,330872.0,0.0
2019-06-27,305403.0,0.0
2019-06-28,51320.0,0.0
2019-06-29,62567.0,0.0
2019-06-30,341266.0,0.0
2019-07-01,418235.0,0.0
2019-07-02,367125.0,0.0
2019-07-03,324033.0,0.0
2019-07-04,429074.0,0.0
2019-07-05,242532.0,0.0
2019-07-06,397037.0,0.0
2019-07-07,396493.0,0.0
2019-07-08,248699.0,0.0
2019-07-09,243301.0,0.0
2019-07-10,112124.0,0.0
2019-07-11,33719.0,0.0
2019-07-12,43259.0,0.0
2019-07-13,164647.0,0.0
2019-07-14,178357.0,0.0
2019-07-15,237185.0,0.0
2019-07-16,194874.0,0.0
2019-07-17,11359.0,0.0
2019-07-18,88817.0,0.0
2019-07-19,55644.0,0.0
2019-07-20,268350.0,0.0
2019-07-21,238457.0,0.0
2019-07-22,313942.0,0.0
2019-07-23,43860.0,0.0
2019-07-24,182443.0,0.0
2019-07-25,129036.0,0.0
2019-07-26,370852.0,0.0
2019-07-27,444524.0,0.0
2019-07-28,253280.0,0.0
2019-07-29,35832.0,0.0
2019-07-30,53967.0,0.0
2019-07-31,135161.0,0.0
2019-08-01,70781.0,0.0
2019-08-02,64254.0,0.0
2019-08-03,75521.0,0.0
2019-08-04,39688.0,0.0
2019-08-05,76291.0,0.0
2019-08-06,114739.0,0.0
2019-08-07,191321.0,0.0
2019-08-08,289439.0,0.0
2019-08-09,231194.0,0.0
2019-08-10,417293.0,0.0
2019-08-11,463941.0,0.0
2019-08-12,305168.0,0.0
2019-08-13,146607.0,0.0
2019-08-14,207858.0,0.0
2019-08-15,322617.0,0.0
2019-08-16,224590.0,0.0
2019-08-17,285178.0,0.0
2019-08-18,228796.0,0.0
2019-08-19,321543.0,0.0
2019-08-20,183500.0,0.0
2019-08-21,80833.0,0.0
2019-08-22,220961.0,0.0
2019-08-23,83257.0,0.0
2019-08-24,157513.0,0.0
2019-08-25,78669.0,0.0
2019-08-26,28713.0,0.0
2019-08-27,89750.0,0.0
2019-08-28,50480.0,0.0
2019-08-29,84472.0,0.0
2019-08-30,132284.0,0.0
2019-08-31,102515.0,0.0
2019-09-01,240092.0,0.0
2019-09-02,271730.0,0.0
2019-09-03,415678.0,0.0
2019-09-04,299387.0,0.0
2019-09-05,372533.0,0.0
2019-09-06,357599.0,0.0
2019-09-07,133927.0,0.0
2019-09-08,41977.0,0.0
2019-09-09,34395.0,0.0
2019-09-10,201949.0,0.0
2019-09-11,354705.0,0.0
2019-09-12,373592.0,0.0
2019-09-13,315475.0,0.0
2019-09-14,212638.0,0.0
2019-09-15,416169.0,0.0
2019-09-16,278607.0,0.0
2019-09-17,406161.0,0.0
2019-09-18,447155.0,0.0
2019-09-19,120597.0,0.0
2019-09-20,78749.0,0.0
2019-09-21,96671.0,0.0
2019-09-22,209763.0,0.0
2019-09-23,152482.0,0.0
2019-09-24,207793.0,0.0
2019-09-25,98590.0,0.0
2019-09-26,281398.0,0.0
2019-09-27,341008.0,0.0
2019-09-28,454104.0,0.0
2019-09-29,351952.0,0.0
2019-09-30,378872.0,0.0
2019-10-01,162867.0,0.0
2019-10-02,412241.0,0.0
2019-10-03,77555.0,0.0
2019-10-04,224225.0,0.0
2019-10-05,266378.0,0.0
2019-10-06,389869.0,0.0
2019-10-07,267373.0,0.0
2019-10-08,459127.0,0.0
2019-10-09,431053.0,0.0
2019-10-10,511959.0,0.0
2019-10-11,513593.0,0.0
2019-10-12,461325.0,0.0
2019-10-13,311554.0,0.0
2019-10-14,302268.0,0.0
2019-10-15,249857.0,0.0
2019-10-16,219318.0,0.0
2019-10-17,190811.0,0.0
2019-10-18,433389.0,0.0
2019-10-19,491488.0,0.0
2019-10-20,100574.0,0.0
2019-10-21,163155.0,0.0
2019-10-22,225732.0,0.0
2019-10-23,103303.0,0.0
2019-10-24,270228.0,0.0
2019-10-25,492569.0,0.0
2019-10-26,441796.0,0.0
2019-10-27,452375.0,0.0
2019-10-28,280238.0,0.0
2019-10-29,73569.0,0.0
2019-10-30,18237.0,0.0
2019-10-31,139388.0,0.0
2019-11-01,337469.0,0.0
2019-11-02,454095.0,0.0
2019-11-03,237873.0,0.0
