,DE_LU_BIO,FR_BIO,IT_NORD_BIO,ES_BIO
2019-03-06,467817.0,7953.0,4533.0,7488.0
2019-03-07,474712.0,8945.0,4544.0,8603.0
2019-03-08,475150.0,10767.0,4584.0,9175.0
2019-03-09,473982.0,9292.0,4300.0,9000.0
2019-03-10,470737.0,9382.0,4668.0,9132.0
2019-03-11,471290.0,9386.0,4558.0,9285.0
2019-03-12,471454.0,9348.0,4300.0,9240.0
2019-03-13,451874.0,8279.0,4614.0,9316.0
2019-03-14,443589.0,8246.0,4460.0,9392.0
2019-03-15,444610.0,8291.0,4558.0,9377.0
2019-03-16,443487.0,8238.0,4776.0,9352.0
2019-03-17,446068.0,8254.0,5016.0,8533.0
2019-03-18,442432.0,8255.0,4958.0,8571.0
