,DE_LU_HYDROSTORAGE,FR_HYDROSTORAGE,IT_NORD_HYDROSTORAGE
2019-05-24,91003.0,13272.0,5159.0
2019-05-25,75799.0,1218.0,3502.0
2019-05-26,51526.0,1373.0,3796.0
2019-05-27,115673.0,15066.0,8464.0
2019-05-28,110289.0,15965.0,7069.0
2019-05-29,126263.0,19808.0,7866.0
2019-05-30,62156.0,6025.0,10100.0
2019-05-31,117760.0,10898.0,14850.0
2019-06-01,108279.0,15317.0,6526.0
2019-06-02,97718.0,9001.0,2119.0
2019-06-03,142711.0,25607.0,7794.0
2019-06-04,88499.0,21702.0,9226.0
2019-06-05,133289.0,16107.0,12002.0
2019-06-06,142868.0,16548.0,12185.0
2019-06-07,132652.0,6408.0,12980.0
2019-06-08,81809.0,4556.0,5504.0
2019-06-09,67262.0,5466.0,4726.0
2019-06-10,57112.0,6414.0,10063.0
2019-06-11,128077.0,23985.0,6648.0
2019-06-12,148758.0,20039.0,11793.0
2019-06-13,95234.0,15091.0,10419.0
2019-06-14,132793.0,27212.0,8298.0
2019-06-15,85395.0,6549.0,3938.0
2019-06-16,59324.0,6106.0,5477.0
2019-06-17,109227.0,19860.0,9838.0
2019-06-18,145140.0,17375.0,12459.0
2019-06-19,162686.0,14127.0,14199.0
2019-06-20,73345.0,12404.0,7534.0
2019-06-21,90761.0,18766.0,6269.0
2019-06-22,56717.0,2691.0,2676.0
2019-06-23,58359.0,4842.0,634.0
2019-06-24,138927.0,17714.0,10484.0
2019-06-25,184767.0,14035.0,11348.0
2019-06-26,118632.0,17381.0,14583.0
2019-06-27,79176.0,12108.0,12038.0
2019-06-28,153035.0,21032.0,19307.0
2019-06-29,101636.0,11093.0,5820.0
2019-06-30,93731.0,8644.0,4487.0
2019-07-01,116039.0,16904.0,15234.0
2019-07-02,83639.0,17666.0,17890.0
2019-07-03,100177.0,12881.0,7398.0
2019-07-04,116370.0,18449.0,12634.0
2019-07-05,144546.0,22572.0,9288.0
2019-07-06,57757.0,11668.0,5242.0
2019-07-07,56968.0,6220.0,3305.0
2019-07-08,83242.0,19906.0,11306.0
2019-07-09,102802.0,11607.0,12464.0
2019-07-10,82540.0,17131.0,8809.0
2019-07-11,154043.0,21060.0,7984.0
2019-07-12,103392.0,16736.0,5231.0
2019-07-13,39067.0,6566.0,2929.0
2019-07-14,29673.0,4364.0,1668.0
2019-07-15,93533.0,14653.0,6303.0
2019-07-16,71891.0,10414.0,5538.0
2019-07-17,99109.0,15940.0,6665.0
2019-07-18,89465.0,12137.0,5497.0
2019-07-19,114406.0,17780.0,5875.0
2019-07-20,60606.0,3716.0,3848.0
2019-07-21,39768.0,5326.0,1139.0
2019-07-22,94935.0,11847.0,7912.0
2019-07-23,121306.0,14075.0,7783.0
2019-07-24,135610.0,19817.0,12841.0
2019-07-25,106728.0,17957.0,10672.0
2019-07-26,99305.0,15945.0,12641.0
2019-07-27,46556.0,2348.0,1427.0
2019-07-28,47714.0,4800.0,1629.0
2019-07-29,118286.0,17418.0,8255.0
2019-07-30,73899.0,9543.0,7000.0
2019-07-31,70347.0,12545.0,10307.0
2019-08-01,95262.0,18538.0,6374.0
2019-08-02,86272.0,11815.0,5526.0
2019-08-03,35753.0,5572.0,2496.0
2019-08-04,51393.0,6951.0,1585.0
2019-08-05,100867.0,15910.0,8682.0
2019-08-06,72444.0,13845.0,8668.0
2019-08-07,65016.0,11572.0,5280.0
2019-08-08,88740.0,14977.0,4800.0
2019-08-09,113133.0,10125.0,7815.0
2019-08-10,80006.0,12284.0,4046.0
2019-08-11,76570.0,6953.0,3793.0
2019-08-12,95154.0,15346.0,9072.0
