,DE_LU_NUC,FR_NUC,ES_NUC
2019-05-02,622638.0,1047296.0,145620.0
2019-05-03,631597.0,1075495.0,145623.0
2019-05-04,626991.0,1045562.0,145491.0
2019-05-05,636531.0,1037815.0,145389.0
2019-05-06,638682.0,1070647.0,145248.0
2019-05-07,639258.0,1056636.0,145125.0
2019-05-08,638361.0,1046692.0,144941.0
2019-05-09,637067.0,1034071.0,144967.0
2019-05-10,636920.0,1033836.0,125700.0
2019-05-11,633616.0,980881.0,121877.0
2019-05-12,606341.0,884931.0,121940.0
2019-05-13,632750.0,983304.0,121976.0
2019-05-14,634441.0,985987.0,121505.0
2019-05-15,635031.0,1034203.0,121325.0
2019-05-16,633554.0,1073670.0,121465.0
2019-05-17,591933.0,1082477.0,121854.0
2019-05-18,515057.0,1034905.0,121371.0
2019-05-19,513359.0,1019955.0,122125.0
2019-05-20,515328.0,1048803.0,122076.0
2019-05-21,513839.0,1060160.0,121941.0
2019-05-22,515858.0,1056583.0,121812.0
2019-05-23,517175.0,1050153.0,121376.0
2019-05-24,515886.0,1027010.0,121552.0
2019-05-25,514600.0,945386.0,121634.0
2019-05-26,466569.0,870553.0,121635.0
2019-05-27,560468.0,998010.0,121507.0
2019-05-28,638805.0,1019282.0,121425.0
2019-05-29,675908.0,1025273.0,121451.0
2019-05-30,631360.0,919969.0,121430.0
2019-05-31,667897.0,988449.0,121433.0
2019-06-01,717602.0,895770.0,121211.0
2019-06-02,722472.0,789646.0,120974.0
2019-06-03,742543.0,949911.0,120888.0
2019-06-04,749628.0,967507.0,120789.0
2019-06-05,668509.0,987828.0,123681.0
2019-06-06,626606.0,1004748.0,128497.0
2019-06-07,623026.0,872577.0,134291.0
2019-06-08,477016.0,721020.0,142739.0
2019-06-09,493776.0,842132.0,157297.0
2019-06-10,501369.0,937947.0,165543.0
2019-06-11,503344.0,986629.0,167274.0
2019-06-12,503038.0,978018.0,168004.0
2019-06-13,503388.0,979440.0,167904.0
2019-06-14,499375.0,1002555.0,167578.0
2019-06-15,493714.0,955572.0,166043.0
2019-06-16,502929.0,919853.0,167722.0
2019-06-17,552471.0,1004448.0,167764.0
2019-06-18,565576.0,1004608.0,167820.0
2019-06-19,584823.0,983341.0,167693.0
2019-06-20,606003.0,990036.0,167615.0
2019-06-21,613153.0,979203.0,167927.0
2019-06-22,620172.0,955385.0,167790.0
2019-06-23,612427.0,889446.0,167450.0
2019-06-24,617373.0,1019428.0,167447.0
2019-06-25,611378.0,1037520.0,167277.0
2019-06-26,675668.0,981481.0,166966.0
2019-06-27,713356.0,1002534.0,156279.0
2019-06-28,739081.0,998917.0,162788.0
2019-06-29,734489.0,969466.0,166667.0
2019-06-30,717022.0,835586.0,166683.0
2019-07-01,723803.0,971335.0,151217.0
2019-07-02,724760.0,992044.0,156582.0
2019-07-03,735540.0,988495.0,166744.0
2019-07-04,726784.0,987172.0,167089.0
2019-07-05,731849.0,1006850.0,166286.0
2019-07-06,729003.0,937257.0,165863.0
2019-07-07,723924.0,902285.0,166017.0
2019-07-08,733128.0,974356.0,166853.0
2019-07-09,780028.0,964661.0,167798.0
2019-07-10,851226.0,971938.0,168012.0
2019-07-11,853161.0,984487.0,166698.0
2019-07-12,798143.0,988082.0,165299.0
2019-07-13,728980.0,955962.0,165339.0
2019-07-14,729517.0,930023.0,167046.0
2019-07-15,714664.0,965048.0,167057.0
2019-07-16,715732.0,966878.0,166665.0
2019-07-17,720381.0,969467.0,166818.0
2019-07-18,720703.0,971901.0,166410.0
2019-07-19,650122.0,953287.0,166261.0
2019-07-20,599416.0,903867.0,166069.0
2019-07-21,598451.0,898961.0,166089.0
2019-07-22,602107.0,944647.0,165632.0
2019-07-23,598907.0,944212.0,165909.0
2019-07-24,594292.0,886598.0,165558.0
2019-07-25,591715.0,667833.0,165245.0
2019-07-26,580071.0,837678.0,165978.0
2019-07-27,608820.0,843605.0,167276.0
2019-07-28,710837.0,844046.0,167568.0
2019-07-29,728943.0,932278.0,167631.0
2019-07-30,726279.0,940246.0,167418.0
2019-07-31,726145.0,894044.0,167174.0
2019-08-01,730198.0,910464.0,166626.0
2019-08-02,729439.0,932063.0,166774.0
2019-08-03,729537.0,920300.0,165876.0
2019-08-04,703475.0,916192.0,165556.0
2019-08-05,722489.0,924136.0,165135.0
2019-08-06,723010.0,931326.0,165279.0
2019-08-07,722436.0,916802.0,165612.0
2019-08-08,707795.0,936626.0,165451.0
2019-08-09,639873.0,923131.0,163737.0
2019-08-10,552934.0,728618.0,165378.0
2019-08-11,554101.0,774615.0,166245.0
2019-08-12,628232.0,886501.0,167196.0
2019-08-13,613754.0,925146.0,167154.0
2019-08-14,623523.0,926502.0,166969.0
2019-08-15,721006.0,847256.0,166224.0
2019-08-16,746283.0,867682.0,165960.0
2019-08-17,736703.0,821287.0,165543.0
2019-08-18,727907.0,821374.0,154518.0
2019-08-19,724176.0,889170.0,165353.0
2019-08-20,741369.0,916617.0,167198.0
2019-08-21,750295.0,906270.0,167227.0
2019-08-22,739096.0,903966.0,167035.0
2019-08-23,732435.0,896304.0,167317.0
2019-08-24,738419.0,884947.0,167194.0
2019-08-25,737236.0,856316.0,166739.0
2019-08-26,739481.0,901165.0,167096.0
2019-08-27,737298.0,933828.0,157491.0
2019-08-28,741660.0,953565.0,142795.0
2019-08-29,742687.0,922524.0,146024.0
2019-08-30,735831.0,903632.0,164476.0
2019-08-31,736175.0,875948.0,164740.0
2019-09-01,728841.0,889101.0,166733.0
2019-09-02,741181.0,917929.0,166939.0
2019-09-03,745145.0,933593.0,166387.0
2019-09-04,748387.0,936878.0,166600.0
2019-09-05,739094.0,919966.0,166972.0
2019-09-06,750222.0,936925.0,167475.0
2019-09-07,745797.0,895760.0,167627.0
2019-09-08,751209.0,931049.0,167330.0
2019-09-09,756981.0,987731.0,167530.0
2019-09-10,739813.0,997280.0,167911.0
2019-09-11,743810.0,994015.0,167984.0
2019-09-12,748693.0,998607.0,167775.0
2019-09-13,739204.0,987119.0,167738.0
2019-09-14,745641.0,945602.0,165914.0
2019-09-15,691944.0,900239.0,167706.0
2019-09-16,753879.0,952479.0,167810.0
2019-09-17,738721.0,937190.0,167904.0
2019-09-18,747762.0,891021.0,167837.0
2019-09-19,753165.0,831561.0,167482.0
2019-09-20,754112.0,898964.0,167518.0
2019-09-21,751047.0,873032.0,165681.0
2019-09-22,758737.0,879853.0,167333.0
2019-09-23,868153.0,882093.0,166477.0
2019-09-24,867875.0,863466.0,166197.0
2019-09-25,879448.0,910179.0,166298.0
2019-09-26,875816.0,923428.0,166358.0
2019-09-27,878462.0,930682.0,165772.0
2019-09-28,829014.0,848201.0,163842.0
2019-09-29,766305.0,733107.0,165383.0
2019-09-30,820377.0,912995.0,165485.0
2019-10-01,880061.0,944485.0,165395.0
2019-10-02,875576.0,973909.0,165538.0
2019-10-03,887271.0,992635.0,165706.0
2019-10-04,889860.0,982582.0,164477.0
2019-10-05,887332.0,939762.0,158191.0
2019-10-06,883091.0,922386.0,142668.0
2019-10-07,886444.0,948143.0,142899.0
2019-10-08,866106.0,909126.0,142861.0
2019-10-09,865777.0,933871.0,142771.0
2019-10-10,838399.0,948468.0,142860.0
2019-10-11,798957.0,943625.0,142877.0
2019-10-12,797877.0,935255.0,142914.0
2019-10-13,858866.0,910091.0,142869.0
2019-10-14,871014.0,941965.0,142852.0
2019-10-15,875822.0,930266.0,143259.0
2019-10-16,885659.0,923790.0,143034.0
2019-10-17,885447.0,889899.0,143288.0
2019-10-18,869506.0,924399.0,143335.0
2019-10-19,876159.0,925355.0,143349.0
2019-10-20,883456.0,916086.0,143447.0
2019-10-21,884261.0,949542.0,143534.0
2019-10-22,885102.0,968135.0,143466.0
2019-10-23,881449.0,964519.0,142438.0
2019-10-24,883409.0,955914.0,141705.0
2019-10-25,869739.0,924082.0,142304.0
2019-10-26,824082.0,830777.0,143506.0
2019-10-27,795339.0,808326.0,143552.0
2019-10-28,888004.0,941204.0,143533.0
2019-10-29,893234.0,957779.0,143492.0
2019-10-30,896276.0,958075.0,139836.0
2019-10-31,894559.0,943201.0,135387.0
2019-11-01,891760.0,885845.0,135212.0
2019-11-02,862858.0,846582.0,129240.0
2019-11-03,864244.0,842277.0,118493.0
2019-11-04,880824.0,923952.0,120853.0
2019-11-05,887393.0,933252.0,120966.0
2019-11-06,891191.0,944498.0,121069.0
2019-11-07,890671.0,933658.0,121135.0
2019-11-08,889888.0,963212.0,113633.0
2019-11-09,891879.0,974637.0,96440.0
2019-11-10,892250.0,975402.0,96442.0
2019-11-11,891094.0,987233.0,96457.0
2019-11-12,886950.0,952476.0,96365.0
2019-11-13,891418.0,959476.0,96370.0
2019-11-14,891513.0,967092.0,98145.0
2019-11-15,887821.0,968983.0,104268.0
2019-11-16,884698.0,983282.0,111329.0
2019-11-17,861391.0,972684.0,119439.0
2019-11-18,759133.0,963699.0,120087.0
2019-11-19,742007.0,962920.0,120136.0
2019-11-20,765566.0,967218.0,120116.0
2019-11-21,763828.0,994537.0,120122.0
2019-11-22,775600.0,998342.0,120618.0
2019-11-23,877449.0,949727.0,120855.0
2019-11-24,881545.0,982779.0,120922.0
2019-11-25,888526.0,1033133.0,120684.0
2019-11-26,883510.0,1030311.0,120535.0
2019-11-27,875551.0,1021149.0,120679.0
2019-11-28,857964.0,1022460.0,119782.0
2019-11-29,847362.0,1032262.0,120478.0
2019-11-30,884287.0,1021311.0,120711.0
2019-12-01,849628.0,998279.0,120782.0
2019-12-02,859369.0,1000879.0,120801.0
2019-12-03,874845.0,1039219.0,120844.0
2019-12-04,885019.0,1048712.0,120894.0
2019-12-05,871803.0,1039895.0,120873.0
2019-12-06,848445.0,1046961.0,121146.0
2019-12-07,800960.0,1051249.0,125426.0
2019-12-08,731400.0,1013674.0,130476.0
2019-12-09,816595.0,1064353.0,141713.0
2019-12-10,851572.0,1043000.0,144428.0
2019-12-11,852765.0,1109961.0,145172.0
2019-12-12,875742.0,1095801.0,145161.0
2019-12-13,854436.0,1012844.0,145258.0
2019-12-14,781834.0,1024702.0,142132.0
2019-12-15,736719.0,974145.0,145365.0
2019-12-16,841507.0,980422.0,145411.0
2019-12-17,867528.0,979581.0,145397.0
2019-12-18,859385.0,1053241.0,145397.0
2019-12-19,854465.0,1069275.0,145335.0
2019-12-20,842931.0,1055154.0,142979.0
2019-12-21,851434.0,1058997.0,105230.0
